_id,href,status,auctionDate,auctionId,adjustedMmrPrice,baseMmrPrice,auctionPrice,auctionTypes,carName,city,color,drivetrain,engine,fuelType,make,model,odometer,transmission,trim,vin,year
5fb354424880f7092047bf50,https://app.acvauctions.com/auction/2127839,4,10/20/2020,2127839,"$7,225 ","$10,500 ","$4,350 ",GREEN YELLOW,2013 INFINITI JX,"Austin, TX",Silver,FWD,3.5L V6 SMPI DOHC CVTCS,Gas,INFINITI,JX,166674,Automatic,FALSE,5N1AL0MN1DC341487,2013
5fb34ea04880f7092047b909,https://app.acvauctions.com/auction/2220228,4,11/11/2020,2220228,"$2,325 ","$3,725 ","$2,425 ",GREEN YELLOW,2006 Mercedes-Benz M Class ML350,"Dover, DE",White,AWD,3.5L V6 SFI DOHC,Gas,Mercedes-Benz,M Class,166749,Automatic,ML350,4JGBB86E66A017890,2006
5fb34fd94880f7092047bae7,https://app.acvauctions.com/auction/2195108,4,11/5/2020,2195108,"$1,925 ","$2,700 ","$1,500 ",GREEN YELLOW,2009 Nissan Murano S,"Oneonta, NY",Silver,AWD,3.5L V6 MPI DOHC,Gas,Nissan,Murano,166766,Automatic,S,JN8AZ18W09W133381,2009
5fb350854880f7092047bbc9,https://app.acvauctions.com/auction/2180885,4,11/2/2020,2180885,$800 ,"$1,350 ",$850 ,GREEN YELLOW,2010 Chevrolet HHR LT,"Mishawaka, IN",Black,FWD,2.2L I-4 SFI Flex,Flex,Chevrolet,HHR,166773,Automatic,LT,3GNBABDB5AS594082,2010
5fb34eba4880f7092047b92d,https://app.acvauctions.com/auction/2218492,4,11/11/2020,2218492,"$1,100 ","$1,025 ",$450 ,GREEN YELLOW,2001 Honda CR-V LX,"Manchester, NH",Red,4WD,2.0L I-4 MPI DOHC,Gas,Honda,CR-V,166854,Automatic,LX,JHLRD18451C037119,2001
5fb3504c4880f7092047bb6f,https://app.acvauctions.com/auction/2186827,4,11/3/2020,2186827,$100 ,"$2,600 ","$2,700 ",GREEN YELLOW,2005 Toyota Sienna XLE,"Annapolis, MD",Blue,AWD,3.3L V6 MPI DOHC,Gas,Toyota,Sienna,166865,Automatic,XLE,5TDBA22C35S047276,2005
5fb34f884880f7092047ba6e,https://app.acvauctions.com/auction/2199372,4,11/6/2020,2199372,"$1,050 ","$1,700 ","$1,250 ",GREEN YELLOW,2008 Nissan Altima S,"Columbia, MD",Black,FWD,2.5L I-4 MPI DOHC,Gas,Nissan,Altima,166935,Automatic,S,1N4AL24E48C273181,2008
5fb363b54880f7092047c231,https://app.acvauctions.com/auction/2084634,4,10/8/2020,2084634,FALSE,$650 ,$300 ,GREEN YELLOW,2003 Ford Escape XLT,"Quakertown, PA",Gray,4WD,3.0L V6 SFI DOHC,Gas,Ford,Escape,167033,Automatic,XLT,1FMYU93183KB86956,2003
5fb351e04880f7092047bd25,https://app.acvauctions.com/auction/2161863,3,10/28/2020,2161863,,,$550 ,GREEN YELLOW,1999 Dodge Ram 1500 ST,"Cleveland, OH",Green,4WD,5.9L V8 SFI,Gas,Dodge,Ram 1500,167080,Automatic,ST,3B7HF12Z8XG140984,1999
5fb49a622f9e150d78526ecb,https://app.acvauctions.com/auction/2243085,4,11/17/2020,2243085,"$3,650 ","$3,650 ","$3,500 ",GREEN YELLOW,2010 Toyota Corolla S,"Hartford, CT",Silver,FWD,1.8L I-4 EFI DOHC,Gas,Toyota,Corolla,167238,Automatic,S,2T1BU4EE0AC460937,2010
